Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.10,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.20,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.30,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.40,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.50,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.60,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.70,0.8571428571428571,0.7333333333333333,1.0,1.0,0.8285714285714286
1.80,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
1.90,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
2.00,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
2.10,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
2.20,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
2.30,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
2.40,0.8571428571428571,0.7333333333333333,0.8,1.0,0.8
2.50,0.8571428571428571,0.6666666666666666,0.8,1.0,0.7714285714285715
2.60,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
2.70,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
2.80,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
2.90,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
3.00,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
3.10,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
3.20,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
3.30,0.7857142857142857,0.6,0.8,1.0,0.7142857142857143
3.40,0.7857142857142857,0.5333333333333333,0.8,1.0,0.6857142857142857
3.50,0.7857142857142857,0.5333333333333333,0.8,1.0,0.6857142857142857
3.60,0.7857142857142857,0.5333333333333333,0.8,0.0,0.6571428571428571
3.70,0.7857142857142857,0.5333333333333333,0.6,0.0,0.6285714285714286
3.80,0.7857142857142857,0.5333333333333333,0.6,0.0,0.6285714285714286
3.90,0.7857142857142857,0.4666666666666667,0.6,0.0,0.6
4.00,0.7857142857142857,0.4666666666666667,0.6,0.0,0.6
4.10,0.7857142857142857,0.4666666666666667,0.6,0.0,0.6
4.20,0.6428571428571429,0.4666666666666667,0.6,0.0,0.5428571428571428
4.30,0.6428571428571429,0.4,0.6,0.0,0.5142857142857142
4.40,0.5714285714285714,0.4,0.6,0.0,0.4857142857142857
4.50,0.5714285714285714,0.4,0.6,0.0,0.4857142857142857
4.60,0.5714285714285714,0.4,0.6,0.0,0.4857142857142857
4.70,0.5714285714285714,0.4,0.6,0.0,0.4857142857142857
4.80,0.5714285714285714,0.4,0.6,0.0,0.4857142857142857
4.90,0.5714285714285714,0.3333333333333333,0.6,0.0,0.45714285714285713
5.00,0.5714285714285714,0.3333333333333333,0.6,0.0,0.45714285714285713
5.10,0.5,0.26666666666666666,0.6,0.0,0.4
5.20,0.5,0.26666666666666666,0.4,0.0,0.37142857142857144
5.30,0.5,0.26666666666666666,0.2,0.0,0.34285714285714286
5.40,0.5,0.2,0.2,0.0,0.3142857142857143
5.50,0.42857142857142855,0.2,0.2,0.0,0.2857142857142857
5.60,0.35714285714285715,0.2,0.2,0.0,0.2571428571428571
5.70,0.35714285714285715,0.2,0.2,0.0,0.2571428571428571
5.80,0.35714285714285715,0.2,0.2,0.0,0.2571428571428571
5.90,0.35714285714285715,0.13333333333333333,0.2,0.0,0.22857142857142856
6.00,0.35714285714285715,0.13333333333333333,0.2,0.0,0.22857142857142856
6.10,0.2857142857142857,0.13333333333333333,0.0,0.0,0.17142857142857143
6.20,0.2857142857142857,0.06666666666666667,0.0,0.0,0.14285714285714285
6.30,0.2857142857142857,0.06666666666666667,0.0,0.0,0.14285714285714285
6.40,0.2857142857142857,0.06666666666666667,0.0,0.0,0.14285714285714285
6.50,0.2857142857142857,0.06666666666666667,0.0,0.0,0.14285714285714285
6.60,0.2857142857142857,0.06666666666666667,0.0,0.0,0.14285714285714285
6.70,0.21428571428571427,0.06666666666666667,0.0,0.0,0.11428571428571428
6.80,0.14285714285714285,0.06666666666666667,0.0,0.0,0.08571428571428572
6.90,0.14285714285714285,0.06666666666666667,0.0,0.0,0.08571428571428572
7.00,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714
