Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.7928571428571429,0.74,1.92,11.1,3.6382142857142856
1.10,0.8785714285714284,0.7733333333333332,2.1,10.7,3.61297619047619
1.20,0.8285714285714285,0.7733333333333332,1.98,10.5,3.5204761904761903
1.30,0.9,0.7333333333333333,2.02,10.8,3.6133333333333333
1.40,0.8642857142857142,0.7533333333333333,2.12,11.9,3.909404761904762
1.50,0.7357142857142858,0.8,2.02,10.4,3.4889285714285716
1.60,0.8071428571428573,0.7533333333333334,2.0600000000000005,10.5,3.530119047619048
1.70,0.8,0.7133333333333333,1.8000000000000003,10.3,3.4033333333333333
1.80,0.8071428571428572,0.7333333333333334,1.9599999999999997,10.0,3.3751190476190476
1.90,0.7642857142857143,0.7399999999999999,1.8800000000000001,10.2,3.396071428571428
2.00,0.7071428571428572,0.7333333333333334,1.8000000000000003,11.2,3.6101190476190474
2.10,0.7071428571428571,0.8,1.94,9.8,3.3117857142857146
2.20,0.8642857142857141,0.7666666666666666,1.78,10.5,3.477738095238095
2.30,0.7285714285714286,0.6866666666666665,1.9000000000000004,10.4,3.428809523809524
2.40,0.85,0.6933333333333334,1.8,9.7,3.2608333333333333
2.50,0.8428571428571429,0.7266666666666666,1.7400000000000002,9.1,3.1023809523809525
2.60,0.8357142857142856,0.6333333333333334,1.7600000000000002,9.5,3.182261904761905
2.70,0.6928571428571428,0.6133333333333334,1.54,8.9,2.9365476190476194
2.80,0.7928571428571429,0.56,1.6,9.4,3.088214285714286
2.90,0.6571428571428573,0.6066666666666666,1.6200000000000003,9.7,3.145952380952381
3.00,0.6928571428571428,0.5666666666666667,1.44,8.8,2.8748809523809524
3.10,0.6714285714285715,0.5533333333333333,1.3599999999999999,10.2,3.196190476190476
3.20,0.6714285714285715,0.6333333333333334,1.46,8.5,2.816190476190476
3.30,0.7214285714285714,0.5933333333333334,1.5,7.9,2.6786904761904764
3.40,0.5857142857142856,0.5933333333333334,1.4000000000000001,7.3,2.4697619047619046
3.50,0.6071428571428572,0.5,1.36,8.6,2.766785714285714
3.60,0.5071428571428571,0.5599999999999999,1.38,7.1,2.3867857142857143
3.70,0.6428571428571429,0.58,1.2399999999999998,7.3,2.440714285714286
3.80,0.5714285714285714,0.47333333333333344,1.2999999999999996,6.7,2.2611904761904764
3.90,0.5285714285714286,0.47333333333333333,1.1600000000000001,6.4,2.140476190476191
4.00,0.5428571428571428,0.4533333333333333,1.0799999999999996,6.0,2.019047619047619
4.10,0.5214285714285714,0.4133333333333334,1.1400000000000001,5.7,1.9436904761904763
4.20,0.49285714285714277,0.4066666666666666,1.0,6.1,1.9998809523809522
4.30,0.43571428571428567,0.42000000000000004,0.9999999999999998,5.7,1.8889285714285715
4.40,0.4642857142857143,0.4533333333333333,0.9,4.7,1.629404761904762
4.50,0.39999999999999997,0.3466666666666667,0.8799999999999999,5.6,1.8066666666666666
4.60,0.3571428571428571,0.2866666666666667,0.86,4.2,1.4259523809523809
4.70,0.3357142857142857,0.24,0.76,4.5,1.4589285714285714
4.80,0.2928571428571428,0.27999999999999997,0.8600000000000001,3.9,1.3332142857142857
4.90,0.2714285714285714,0.29333333333333333,0.6,3.5,1.1661904761904762
5.00,0.2714285714285714,0.21999999999999997,0.5599999999999999,3.4,1.1128571428571428
5.10,0.2642857142857143,0.20666666666666664,0.5599999999999999,2.6,0.9077380952380952
5.20,0.2571428571428572,0.23333333333333334,0.6,2.6,0.9226190476190477
5.30,0.24285714285714283,0.20666666666666664,0.4000000000000001,2.6,0.8623809523809525
5.40,0.1928571428571428,0.14666666666666667,0.48,2.5,0.8298809523809524
5.50,0.21428571428571427,0.15333333333333332,0.52,1.6,0.621904761904762
5.60,0.2214285714285714,0.19999999999999998,0.44000000000000006,2.1,0.7403571428571429
5.70,0.1714285714285714,0.09333333333333334,0.25999999999999995,1.7,0.5561904761904761
5.80,0.14285714285714285,0.12,0.30000000000000004,1.5,0.5157142857142858
5.90,0.10714285714285712,0.06,0.22000000000000003,1.0,0.34678571428571425
6.00,0.1571428571428571,0.07999999999999999,0.22000000000000003,1.4,0.46428571428571425
6.10,0.18571428571428567,0.05333333333333333,0.21999999999999997,1.5,0.48976190476190473
6.20,0.0857142857142857,0.05333333333333333,0.14,0.8,0.26976190476190476
6.30,0.04285714285714285,0.026666666666666665,0.06000000000000001,0.3,0.10738095238095238
6.40,0.0,0.0,0.0,0.0,0.0
6.50,0.0,0.0,0.0,0.0,0.0
6.60,0.0,0.0,0.0,0.0,0.0
6.70,0.0,0.0,0.0,0.0,0.0
6.80,0.0,0.0,0.0,0.0,0.0
6.90,0.0,0.0,0.0,0.0,0.0
7.00,0.0,0.0,0.0,0.0,0.0
