Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.2692307692307692,0.15384615384615385,0.05263157894736842,0.125,0.16455696202531644
1.10,0.2692307692307692,0.15384615384615385,0.05555555555555555,0.125,0.16666666666666666
1.20,0.2692307692307692,0.15384615384615385,0.05555555555555555,0.125,0.16666666666666666
1.30,0.2692307692307692,0.15384615384615385,0.058823529411764705,0.2,0.17567567567567569
1.40,0.2692307692307692,0.15384615384615385,0.058823529411764705,0.2,0.17567567567567569
1.50,0.2692307692307692,0.15384615384615385,0.058823529411764705,0.2,0.17567567567567569
1.60,0.2692307692307692,0.15384615384615385,0.0625,0.2,0.1780821917808219
1.70,0.2692307692307692,0.15384615384615385,0.0625,0.2,0.1780821917808219
1.80,0.2692307692307692,0.15384615384615385,0.0625,0.2,0.1780821917808219
1.90,0.2692307692307692,0.16,0.07142857142857142,0.2,0.18571428571428572
2.00,0.28,0.16666666666666666,0.07142857142857142,0.2,0.19117647058823528
2.10,0.28,0.16666666666666666,0.07142857142857142,0.2,0.19117647058823528
2.20,0.2916666666666667,0.16666666666666666,0.07692307692307693,0.25,0.2
2.30,0.30434782608695654,0.17391304347826086,0.07692307692307693,0.25,0.20634920634920634
2.40,0.30434782608695654,0.18181818181818182,0.07692307692307693,0.25,0.20967741935483872
2.50,0.30434782608695654,0.18181818181818182,0.07692307692307693,0.25,0.20967741935483872
2.60,0.30434782608695654,0.19047619047619047,0.07692307692307693,0.25,0.21311475409836064
2.70,0.30434782608695654,0.2,0.07692307692307693,0.25,0.21666666666666667
2.80,0.30434782608695654,0.21052631578947367,0.07692307692307693,0.25,0.22033898305084745
2.90,0.30434782608695654,0.21052631578947367,0.09090909090909091,0.3333333333333333,0.23214285714285715
3.00,0.30434782608695654,0.21052631578947367,0.1,0.3333333333333333,0.23636363636363636
3.10,0.30434782608695654,0.21052631578947367,0.1,0.3333333333333333,0.23636363636363636
3.20,0.30434782608695654,0.21052631578947367,0.1,0.3333333333333333,0.23636363636363636
3.30,0.3181818181818182,0.21052631578947367,0.1111111111111111,0.3333333333333333,0.24528301886792453
3.40,0.35,0.23529411764705882,0.1111111111111111,0.3333333333333333,0.2653061224489796
3.50,0.35,0.25,0.1111111111111111,0.5,0.2765957446808511
3.60,0.3684210526315789,0.2857142857142857,0.125,0.5,0.3023255813953488
3.70,0.3684210526315789,0.2857142857142857,0.14285714285714285,0.5,0.30952380952380953
3.80,0.3333333333333333,0.3076923076923077,0.14285714285714285,0.5,0.3
3.90,0.29411764705882354,0.3076923076923077,0.14285714285714285,0.5,0.28205128205128205
4.00,0.35714285714285715,0.36363636363636365,0.14285714285714285,1.0,0.3333333333333333
4.10,0.35714285714285715,0.36363636363636365,0.16666666666666666,1.0,0.34375
4.20,0.35714285714285715,0.4,0.16666666666666666,1.0,0.3548387096774194
4.30,0.35714285714285715,0.4,0.16666666666666666,1.0,0.3548387096774194
4.40,0.38461538461538464,0.4444444444444444,0.3333333333333333,1.0,0.4230769230769231
4.50,0.38461538461538464,0.4444444444444444,0.3333333333333333,1.0,0.4230769230769231
4.60,0.38461538461538464,0.4444444444444444,0.3333333333333333,1.0,0.4230769230769231
4.70,0.45454545454545453,0.5714285714285714,0.5,1.0,0.5238095238095238
4.80,0.45454545454545453,0.5714285714285714,0.5,1.0,0.5238095238095238
4.90,0.4444444444444444,0.6,0.5,1.0,0.5294117647058824
5.00,0.4444444444444444,0.6,0.5,1.0,0.5294117647058824
5.10,0.5,0.6,0.5,1.0,0.5625
5.20,0.5,0.6,0.5,1.0,0.5625
5.30,0.5,0.5,0.5,1.0,0.5333333333333333
5.40,0.5,0.5,0.5,1.0,0.5333333333333333
5.50,0.5714285714285714,0.6666666666666666,1.0,1.0,0.6666666666666666
5.60,0.5,0.5,1.0,1.0,0.6
5.70,0.6,1.0,1.0,1.0,0.75
5.80,0.6,1.0,1.0,1.0,0.75
5.90,0.6,1.0,1.0,1.0,0.7142857142857143
6.00,0.75,1.0,1.0,1.0,0.8333333333333334
6.10,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666
6.20,0.5,1.0,1.0,1.0,0.5
6.30,0.5,1.0,1.0,1.0,0.5
6.40,0.5,1.0,1.0,1.0,0.5
6.50,0.5,1.0,1.0,1.0,0.5
6.60,0.5,1.0,1.0,1.0,0.5
6.70,0.5,1.0,1.0,1.0,0.5
6.80,0.0,1.0,1.0,1.0,0.0
6.90,0.0,1.0,1.0,1.0,0.0
7.00,0.0,1.0,1.0,1.0,0.0
