User Id,PS (7),RA (6),C (5),Co (6),"PS,  RA (7)","RA, C (6)","C, Co (6)","PS, C (6)","PS, Co (7)","RA, Co (6)","PS, RA, C (6)","PS, RA, Co (6)","PS, C, Co (6)","RA, C, Co (6)","PS, RA, C, Co (5)"
1,?,?,4,?,5,?,?,4,?,?,?,4,?,?,2
2,3,?,?,1,?,4,?,?,1,?,3,1,?,?,?
3,?,2,5,?,?,?,?,4,?,?,?,1,?,1,?
4,?,?,?,?,?,?,5,?,?,5,?,4,4,?,3
5,?,2,?,2,?,2,?,?,?,1,?,?,1,?,1
6,?,?,?,4,5,?,?,5,?,?,?,?,?,3,4
7,?,5,?,?,?,?,4,5,?,4,?,?,?,4,?
8,?,3,?,?,4,?,?,?,?,?,3,?,?,1,1
9,5,?,?,?,?,?,?,4,4,?,?,1,?,2,?
10,?,?,?,?,?,?,5,?,?,?,4,?,4,4,3
11,4,?,4,?,?,4,?,?,5,?,?,3,?,?,?
12,5,?,5,?,5,?,?,4,?,3,?,?,?,?,?
13,?,?,?,2,4,?,2,?,?,?,2,?,1,?,?
14,?,2,5,?,?,?,?,3,?,?,?,1,?,2,?
15,?,?,4,?,5,4,?,?,?,?,?,?,4,?,2
16,?,?,?,5,4,4,?,?,?,4,?,?,4,?,3
17,4,2,?,?,?,4,4,?,4,?,4,?,?,?,?
18,5,?,?,5,?,?,4,?,4,?,5,?,?,?,?
19,4,4,4,4,5,?,?,?,?,?,?,?,?,?,?
20,?,2,?,2,?,1,1,?,?,?,?,?,1,?,?
21,?,?,4,?,?,?,?,2,1,1,2,?,?,?,?
22,?,?,5,?,?,4,?,?,?,?,?,4,?,4,3
23,?,?,?,?,?,?,4,?,4,3,5,?,4,?,?
24,?,2,?,?,?,?,3,?,4,?,4,?,4,?,?
25,4,?,?,?,?,?,?,4,?,4,?,2,?,3,?
26,?,?,?,?,?,4,?,?,4,5,5,?,?,5,?
27,4,?,?,4,5,5,?,?,?,?,?,4,?,?,?
28,2,?,?,?,?,?,?,2,?,1,?,?,2,?,1
29,?,3,2,2,4,?,1,?,?,?,?,?,?,?,?
30,5,?,5,?,?,?,?,?,4,?,?,?,4,?,3
31,2,?,?,?,4,?,?,2,?,2,?,?,?,?,1
32,?,3,?,2,?,?,?,?,1,?,?,1,?,?,2
33,?,?,5,?,4,?,?,?,?,?,4,1,?,?,3
34,?,2,?,?,?,3,4,?,?,?,3,?,?,2,?
35,4,?,5,?,?,?,?,4,?,3,?,?,?,4,?
36,?,?,?,4,?,4,?,?,4,5,?,?,4,?,?
37,?,4,?,?,5,?,4,?,4,?,?,4,?,?,?
38,?,?,?,5,?,?,5,5,?,?,4,?,4,?,?
39,?,?,?,?,?,4,5,5,4,?,?,?,?,4,?
40,5,?,5,?,5,?,?,?,?,5,?,4,?,?,?
41,5,?,5,?,?,?,?,?,4,?,?,?,4,?,3
42,2,?,?,?,4,?,?,2,?,2,?,?,?,3,1
43,?,3,?,2,?,?,3,?,1,?,?,1,3,?,2
44,?,?,3,4,?,?,?,?,?,?,4,1,?,?,3
45,2,?,?,3,4,3,4,?,?,?,?,5,4,2,?
46,4,?,5,?,?,?,?,4,?,3,?,?,?,4,?
47,?,?,?,4,?,4,?,3,4,?,3,4,4,?,?
48,5,4,?,4,5,3,4,?,?,5,?,4,?,4,3
49,?,?,?,5,?,?,5,?,4,3,4,?,5,?,?
50,?,?,?,?,?,4,5,5,?,?,5,3,4,4,5
51,?,4,?,?,5,?,4,?,?,5,?,4,?,?,?
