Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.5,0.46153846153846156,0.15789473684210525,0.125,0.3670886075949367
1.10,0.5,0.46153846153846156,0.16666666666666666,0.125,0.3717948717948718
1.20,0.5,0.46153846153846156,0.16666666666666666,0.125,0.3717948717948718
1.30,0.5,0.46153846153846156,0.17647058823529413,0.2,0.3918918918918919
1.40,0.5,0.46153846153846156,0.17647058823529413,0.2,0.3918918918918919
1.50,0.5,0.46153846153846156,0.17647058823529413,0.2,0.3918918918918919
1.60,0.5,0.46153846153846156,0.125,0.2,0.3835616438356164
1.70,0.5,0.46153846153846156,0.125,0.2,0.3835616438356164
1.80,0.5,0.46153846153846156,0.125,0.2,0.3835616438356164
1.90,0.5,0.48,0.14285714285714285,0.2,0.4
2.00,0.52,0.5,0.14285714285714285,0.2,0.4117647058823529
2.10,0.52,0.5,0.14285714285714285,0.2,0.4117647058823529
2.20,0.5416666666666666,0.5,0.15384615384615385,0.25,0.4307692307692308
2.30,0.5652173913043478,0.5217391304347826,0.15384615384615385,0.25,0.4444444444444444
2.40,0.5652173913043478,0.5454545454545454,0.15384615384615385,0.25,0.45161290322580644
2.50,0.5652173913043478,0.5454545454545454,0.15384615384615385,0.25,0.45161290322580644
2.60,0.5652173913043478,0.5238095238095238,0.15384615384615385,0.25,0.4426229508196721
2.70,0.5652173913043478,0.5,0.15384615384615385,0.25,0.43333333333333335
2.80,0.5652173913043478,0.5263157894736842,0.15384615384615385,0.25,0.4406779661016949
2.90,0.5652173913043478,0.5263157894736842,0.18181818181818182,0.3333333333333333,0.4642857142857143
3.00,0.5652173913043478,0.5263157894736842,0.2,0.3333333333333333,0.4727272727272727
3.10,0.5652173913043478,0.5263157894736842,0.2,0.3333333333333333,0.4727272727272727
3.20,0.5652173913043478,0.5263157894736842,0.2,0.3333333333333333,0.4727272727272727
3.30,0.5909090909090909,0.5263157894736842,0.2222222222222222,0.3333333333333333,0.49056603773584906
3.40,0.65,0.5882352941176471,0.2222222222222222,0.3333333333333333,0.5306122448979592
3.50,0.65,0.625,0.2222222222222222,0.5,0.5531914893617021
3.60,0.631578947368421,0.7142857142857143,0.25,0.5,0.5813953488372093
3.70,0.631578947368421,0.7142857142857143,0.2857142857142857,0.5,0.5952380952380952
3.80,0.6111111111111112,0.6923076923076923,0.2857142857142857,0.5,0.575
3.90,0.5882352941176471,0.6923076923076923,0.2857142857142857,0.5,0.5641025641025641
4.00,0.6428571428571429,0.7272727272727273,0.2857142857142857,1.0,0.6060606060606061
4.10,0.6428571428571429,0.7272727272727273,0.3333333333333333,1.0,0.625
4.20,0.6428571428571429,0.7,0.3333333333333333,1.0,0.6129032258064516
4.30,0.6428571428571429,0.7,0.3333333333333333,1.0,0.6129032258064516
4.40,0.6923076923076923,0.6666666666666666,0.3333333333333333,1.0,0.6538461538461539
4.50,0.6923076923076923,0.6666666666666666,0.3333333333333333,1.0,0.6538461538461539
4.60,0.6923076923076923,0.6666666666666666,0.3333333333333333,1.0,0.6538461538461539
4.70,0.8181818181818182,0.8571428571428571,0.5,1.0,0.8095238095238095
4.80,0.8181818181818182,0.8571428571428571,0.5,1.0,0.8095238095238095
4.90,0.7777777777777778,0.8,0.5,1.0,0.7647058823529411
5.00,0.7777777777777778,0.8,0.5,1.0,0.7647058823529411
5.10,0.875,0.8,0.5,1.0,0.8125
5.20,0.875,0.8,0.5,1.0,0.8125
5.30,0.875,0.75,0.5,1.0,0.8
5.40,0.875,0.75,0.5,1.0,0.8
5.50,1.0,1.0,1.0,1.0,1.0
5.60,1.0,1.0,1.0,1.0,1.0
5.70,1.0,1.0,1.0,1.0,1.0
5.80,1.0,1.0,1.0,1.0,1.0
5.90,1.0,1.0,1.0,1.0,1.0
6.00,1.0,1.0,1.0,1.0,1.0
6.10,1.0,1.0,1.0,1.0,1.0
6.20,1.0,1.0,1.0,1.0,1.0
6.30,1.0,1.0,1.0,1.0,1.0
6.40,1.0,1.0,1.0,1.0,1.0
6.50,1.0,1.0,1.0,1.0,1.0
6.60,1.0,1.0,1.0,1.0,1.0
6.70,1.0,1.0,1.0,1.0,1.0
6.80,1.0,1.0,1.0,1.0,1.0
6.90,1.0,1.0,1.0,1.0,1.0
7.00,1.0,1.0,1.0,1.0,1.0
