Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.5384615384615384,0.5,0.17647058823529413,0.14285714285714285,0.3394473173884938
1.10,0.5384615384615384,0.5,0.17647058823529413,0.14285714285714285,0.3394473173884938
1.20,0.5384615384615384,0.5,0.17647058823529413,0.14285714285714285,0.3394473173884938
1.30,0.5384615384615384,0.5,0.17647058823529413,0.14285714285714285,0.3394473173884938
1.40,0.5384615384615384,0.5,0.17647058823529413,0.14285714285714285,0.3394473173884938
1.50,0.5384615384615384,0.52,0.1875,0.16666666666666666,0.35315705128205127
1.60,0.5384615384615384,0.52,0.1875,0.2,0.3614903846153846
1.70,0.56,0.52,0.13333333333333333,0.25,0.36583333333333334
1.80,0.56,0.52,0.14285714285714285,0.25,0.3682142857142857
1.90,0.56,0.52,0.14285714285714285,0.25,0.3682142857142857
2.00,0.5833333333333334,0.5416666666666666,0.14285714285714285,0.25,0.3794642857142857
2.10,0.5833333333333334,0.5416666666666666,0.14285714285714285,0.25,0.3794642857142857
2.20,0.5833333333333334,0.5416666666666666,0.14285714285714285,0.25,0.3794642857142857
2.30,0.6086956521739131,0.5652173913043478,0.14285714285714285,0.25,0.3916925465838509
2.40,0.6086956521739131,0.6190476190476191,0.2,0.3333333333333333,0.44026915113871634
2.50,0.6086956521739131,0.6,0.2,0.3333333333333333,0.4355072463768116
2.60,0.6086956521739131,0.6,0.2,0.3333333333333333,0.4355072463768116
2.70,0.6086956521739131,0.6,0.2,0.3333333333333333,0.4355072463768116
2.80,0.6086956521739131,0.6,0.2,0.3333333333333333,0.4355072463768116
2.90,0.6086956521739131,0.6,0.2,0.5,0.4771739130434783
3.00,0.6086956521739131,0.6111111111111112,0.2,0.5,0.47995169082125605
3.10,0.6363636363636364,0.6470588235294118,0.2,0.5,0.495855614973262
3.20,0.6363636363636364,0.6470588235294118,0.2,0.5,0.495855614973262
3.30,0.6190476190476191,0.6470588235294118,0.2,0.5,0.4915266106442577
3.40,0.6190476190476191,0.6470588235294118,0.2,0.5,0.4915266106442577
3.50,0.6,0.6875,0.2222222222222222,0.5,0.5024305555555556
3.60,0.6,0.7333333333333333,0.25,0.5,0.5208333333333333
3.70,0.6,0.7333333333333333,0.25,0.5,0.5208333333333333
3.80,0.6,0.7142857142857143,0.25,0.5,0.5160714285714285
3.90,0.631578947368421,0.7142857142857143,0.2857142857142857,1.0,0.6578947368421052
4.00,0.6470588235294118,0.7692307692307693,0.3333333333333333,1.0,0.6874057315233786
4.10,0.6875,0.8333333333333334,0.3333333333333333,1.0,0.7135416666666667
4.20,0.7142857142857143,0.9,0.3333333333333333,1.0,0.736904761904762
4.30,0.7142857142857143,0.9,0.4,1.0,0.7535714285714286
4.40,0.7142857142857143,0.9,0.4,1.0,0.7535714285714286
4.50,0.7142857142857143,0.9,0.5,1.0,0.7785714285714286
4.60,0.7692307692307693,0.9,0.6666666666666666,1.0,0.833974358974359
4.70,0.8181818181818182,0.8571428571428571,0.5,1.0,0.7938311688311688
4.80,0.8181818181818182,0.8571428571428571,0.5,1.0,0.7938311688311688
4.90,0.9,0.8333333333333334,0.5,1.0,0.8083333333333333
5.00,0.8888888888888888,0.8,0.5,1.0,0.7972222222222223
5.10,0.875,0.75,0.5,1.0,0.78125
5.20,0.875,0.75,0.5,1.0,0.78125
5.30,0.875,0.75,0.5,1.0,0.78125
5.40,0.875,0.75,0.5,1.0,0.78125
5.50,1.0,1.0,1.0,1.0,1.0
5.60,1.0,1.0,1.0,1.0,1.0
5.70,1.0,1.0,1.0,1.0,1.0
5.80,1.0,1.0,1.0,1.0,1.0
5.90,1.0,1.0,1.0,1.0,1.0
6.00,1.0,1.0,1.0,1.0,1.0
6.10,1.0,1.0,1.0,1.0,1.0
6.20,1.0,1.0,1.0,1.0,1.0
6.30,1.0,1.0,1.0,1.0,1.0
6.40,1.0,1.0,1.0,1.0,1.0
6.50,1.0,1.0,1.0,1.0,1.0
6.60,1.0,1.0,1.0,1.0,1.0
6.70,1.0,1.0,1.0,1.0,1.0
6.80,1.0,1.0,1.0,1.0,1.0
6.90,1.0,1.0,1.0,1.0,1.0
7.00,1.0,1.0,1.0,1.0,1.0
